0	1.500000
1	0.070737
2	0.997499
3	0.542405
4	0.856470
5	0.655109
6	0.792982
7	0.701724
8	0.763730
9	0.722261
10	0.750313
11	0.731476
12	0.744190
13	0.735637
14	0.741403
15	0.737522
16	0.740137
17	0.738376
18	0.739563
19	0.738763
20	0.739302
21	0.738939
22	0.739183
23	0.739019
24	0.739130
25	0.739055
26	0.739105
27	0.739071
28	0.739094
29	0.739079
30	0.739089
31	0.739082
32	0.739087
33	0.739084
34	0.739086
35	0.739085
36	0.739086
37	0.739085
38	0.739085
39	0.739085
40	0.739085
41	0.739085
42	0.739085
43	0.739085
44	0.739085
45	0.739085
46	0.739085
47	0.739085
48	0.739085
49	0.739085
50	0.739085
51	0.739085
52	0.739085
53	0.739085
54	0.739085
55	0.739085
56	0.739085
57	0.739085
58	0.739085
59	0.739085
